id,title,genre_ids,poster_path
803796,Las guerreras k-pop,"[10751, 14, 10402, 35, 12, 16]",img_movies/swQRKmW7RLhncPYHvM0RHz8b7bT.jpg
1087192,Cómo entrenar a tu dragón,"[14, 10751, 28, 12]",img_movies/kjQXYc2Abhy3TBgAZGzJRhN1JaV.jpg
1175942,Los tipos malos 2,"[10751, 35, 80, 12, 16]",img_movies/mZmnKDhIS2yNmtfzde5vtdCYzBF.jpg
552524,Lilo y Stitch,"[10751, 878, 35, 12]",img_movies/4oLLOAT55JhAoe73VliaSKFvEEr.jpg
1022787,Elio,"[10751, 35, 12, 16, 878]",img_movies/fqF7z5A8kFIrNtSdpEfjE539fna.jpg
870360,El día que la Tierra explotó: Una película de los Looney Tunes,"[10751, 35, 12, 16, 878]",img_movies/xSd2zSbIIuyz6MYZmCXzeVvlxsz.jpg
1029575,Plan en familia,"[28, 35, 10751]",img_movies/7mEX07jWRYrjarW84sBeFghGMfa.jpg
1125257,Ponte en mi lugar de nuevo,"[35, 14, 10751]",img_movies/3XFHVy03Rkr7ITaznFTeVp8dMwL.jpg
974397,Una familia monstruosa,"[16, 10751, 14]",img_movies/pns4fLXmKjyMNVzgpBg0ZXFK3es.jpg
936108,Pitufos,"[16, 10751, 14]",img_movies/zBdQclxQnEDOhDOjkKgKPW6jEHh.jpg
1241982,Vaiana 2,"[10751, 35, 12, 16]",img_movies/bit1B5F7IQydiWqdwAAD8f9TkXs.jpg
950387,Una película de Minecraft,"[10751, 12, 35, 14, 28]",img_movies/rZYYmjgyF5UP1AVsvhzzDOFLCwG.jpg
1022789,Del revés 2 (Inside Out 2),"[16, 12, 35, 10751]",img_movies/lE3DCRI7bQgHSiIuEPcFiXpiuGV.jpg
939243,Sonic 3: La película,"[28, 878, 35, 10751]",img_movies/3aDWCRXLYOCuxjrjiPfLd79tcI6.jpg
9806,Los Increíbles,"[28, 12, 16, 10751]",img_movies/al1jusd4T7JPatZlj4BuYkDDOzr.jpg
411,"Las crónicas de Narnia: El león, la bruja y el armario","[12, 10751, 14]",img_movies/2Lv2wKf2YocOcRfzmvQYOUGRhFg.jpg
519182,Gru 4. Mi villano favorito,"[10751, 35, 16, 878]",img_movies/b6JX0fBne5yPFNBtdp4Imi3CpiE.jpg
1011985,Kung Fu Panda 4,"[16, 10751, 28, 35, 12, 14]",img_movies/7JspmokDnpm8SEg28wtstfGps0K.jpg
862,Toy Story,"[10751, 35, 16]",img_movies/y59d8PjuFSgJJN4VRS7jDoRgSM9.jpg
354912,Coco,"[10751, 16, 10402, 12]",img_movies/vwsFGblLYxWBNjg9pdWN1Mm5YfW.jpg
997892,Aventura en la isla,"[10751, 12, 53]",img_movies/dbWXeetP7S36oHvjuf9rByzTAdv.jpg
260513,Los Increíbles 2,"[28, 12, 16, 10751]",img_movies/bJjc0217DuipdwJ0wyi3I4j6soR.jpg
762509,Mufasa: El rey león,"[12, 10751, 16]",img_movies/dmw74cWIEKaEgl5Dv3kUTcCob6D.jpg
1084242,Zootrópolis 2,"[10751, 35, 80, 12, 16, 9648]",img_movies/l2YcvAeBxCyzYe2Qwo2LtjsUfPL.jpg
14836,Los mundos de Coraline,"[16, 10751, 14]",img_movies/xz1HjxeqpIACyPtJMqv33Z2RjRP.jpg
808,Shrek,"[16, 35, 14, 12, 10751]",img_movies/5G1RjHMSt7nYONqCqSwFlP87Ckk.jpg
1280282,La casa de muñecas de Gabby: La película,"[10751, 35, 12, 16]",img_movies/nFMNzuR6FzjSU2d4cilwPpYhQW6.jpg
1184918,Robot salvaje,"[16, 878, 10751]",img_movies/a0a7RC01aTa7pOnskgJb3mCD2Ba.jpg
